code,name,city,country
CZM,Cozumel Intl,Cozumel,Mexico
CZN,Chisana Airport,Chisana,United States
CZS,Cruzeiro do Sul,Cruzeiro do Sul,Brazil
CZU,Las Brujas,Corozal,Colombia
CZW,Rudniki,Rudniki,Poland
CZX,Changzhou,Changzhou,China
IKU,Issyk-Kul International Airport,Tamchy,Kyrgyzstan
DAB,Daytona Beach Intl,Daytona Beach,United States
DAC,Zia Intl,Dhaka,Bangladesh
DAD,Danang Intl,Danang,Vietnam
DAL,Dallas Love Fld,Dallas,United States
DAM,Damascus Intl,Damascus,Syria
DAQ,Daqing Saertu Airport,Daqing,China
DAR,Mwalimu Julius K Nyerere Intl,Dar Es Salaam,Tanzania
DAT,Datong Airport,Datong,China
DAU,Daru Airport,Daru,Papua New Guinea
DAV,Enrique Malek Intl,David,Panama
DAW,Skyhaven Airport,Rochester,United States
DAX,Dachuan Airport,Dazhou,China
DAY,James M Cox Dayton Intl,Dayton,United States
DBA,Dalbandin Airport,Dalbandin,Pakistan
DBB,Alalamain Intl.,Dabaa City,Egypt
DBD,Dhanbad,Dhanbad,India
DBM,Debre Marqos,Debre Marqos,Ethiopia
DBN,W H Barron Field,Dublin,United States
DBO,Dubbo,Dubbo,Australia
DBQ,Dubuque Rgnl,Dubuque IA,United States
DBT,Debre Tabor Airport,Debre Tabor,Ethiopia
DBV,Dubrovnik,Dubrovnik,Croatia
DCA,Ronald Reagan Washington Natl,Washington,United States
DCF,Canefield,Canefield,Dominica
DCI,Decimomannu,Decimomannu,Italy
DCM,Mazamet,Castres,France
DCY,Yading Daocheng,Daocheng,China
DDC,Dodge City Regional Airport,Dodge City,United States
DDG,Dandong,Dandong,China
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan
DEB,Debrecen,Debrecen,Hungary
DEC,Decatur,Decatur,United States
DED,Dehradun,Dehra Dun,India
DEE,Mendeleevo,Yuzhno-Kurilsk,Russia
DEL,Indira Gandhi Intl,Delhi,India
DEM,Dembidollo Airport,Dembidollo,Ethiopia
DEN,Denver Intl,Denver,United States
DES,Desroches,Desroches,Seychelles
DET,Coleman A Young Muni,Detroit,United States
DEZ,Deir Zzor,Deire Zor,Syria
DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,United States
DGA,Dangriga Airport,Dangriga,Belize
DGE,Mudgee Airport,Mudgee,Australia
DGL,Douglas Municipal Airport,Douglas,United States
DGO,Durango Intl,Durango,Mexico
DGT,Dumaguete,Dumaguete,Philippines
DHA,King Abdulaziz Ab,Dhahran,Saudi Arabia
DHB,Deer Harbor Seaplane,Deer Harbor,United States
DHG,Dhigurah Centara Grand Maldives,Dhigurah,Maldives
DHI,Dhangarhi,Dhangarhi,Nepal
DHM,Kangra Airport,Kangra,India
DHN,Dothan Rgnl,Dothan,United States
DHR,De Kooy,De Kooy,Netherlands
DHT,Dalhart Muni,Dalhart,United States
DIB,Dibrugarh Airport,Dibrugarh,India
DIE,Arrachart,Antsiranana,Madagascar
DIG,Diqing Airport,Shangri-La,China
DIJ,Longvic,Dijon,France
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States
DIL,Presidente Nicolau Lobato Intl,Dili,East Timor
DIN,Dien Bien Phu Airport,Dienbienphu,Vietnam
DIR,Dire Dawa Intl,Dire Dawa,Ethiopia
DIS,Loubomo Airport,Loubomo,Congo (Brazzaville)
DIU,Diu Airport,Diu,India
DIW,Dickwella Airport,Dickwella,Sri Lanka
DIY,Diyarbakir,Diyabakir,Turkey
DJB,Sultan Thaha,Jambi,Indonesia
DJE,Zarzis,Djerba,Tunisia
DJG,Tiska,Djanet,Algeria
DJJ,Sentani,Jayapura,Indonesia
DJO,Daloa,Daloa,Cote d'Ivoire
DKB,De Kalb Taylor Municipal Airport,De Kalb,United States
DKI,Dunk Island Airport,Dunk Island,Australia
DKK,Chautauqua County-Dunkirk Airport,Dunkirk,United States
DKR,Leopold Sedar Senghor Intl,Dakar,Senegal
DKS,Dikson Airport,Dikson,Russia
DKX,Knoxville Downtown Island Airport,Knoxville,United States
DLA,Douala,Douala,Cameroon
DLC,Zhoushuizi,Dalian,China
DLE,Tavaux,Dole,France
DLF,Laughlin Afb,Del Rio,United States
DLG,Dillingham,Dillingham,United States
DLH,Duluth Intl,Duluth,United States
DLI,Dalat,Dalat,Vietnam
DLL,Baraboo Wisconsin Dells Airport,Baraboo,United States
DLM,Dalaman,Dalaman,Turkey
DLU,Dali,Dali,China
DLY,Dillon's Bay Airport,Dillon's Bay,Vanuatu
DLZ,Dalanzadgad Airport,Dalanzadgad,Mongolia
DMA,Davis Monthan Afb,Tucson,United States
DMB,Taraz,Dzhambul,Kazakhstan
DMD,Doomadgee Airport,Doomadgee,Australia
DME,Domododevo,Moscow,Russia
DMK,Don Muang Intl,Bangkok,Thailand
DMM,King Fahd Intl,Dammam,Saudi Arabia
DMT,Diamantino Airport,Diamantino,Brazil
DMU,Dimapur Airport,Dimapur,India
DNA,Kadena Ab,Kadena,Japan
DND,Dundee,Dundee,United Kingdom
DNH,Dunhuang Airport,Dunhuang,China
DNK,Dnipropetrovsk Intl,Dnepropetrovsk,Ukraine
DNL,Daniel Field Airport,Augusta,United States
DNN,Dalton Municipal Airport,Dalton,United States
DNP,Tulsipur,Dang,Nepal
DNR,Pleurtuit,Dinard,France
DNV,Vermilion Regional,Danville,United States
DNZ,Cardak,Denizli,Turkey
DOD,Dodoma,Dodoma,Tanzania
DOE,Djoemoe Airstrip,Djoemoe,Suriname
DOG,Dongola,Dongola,Sudan
DOH,Doha Intl,Doha,Qatar
DOK,Donetsk Intl,Donetsk,Ukraine
DOL,St Gatien,Deauville,France
DOM,Melville Hall,Dominica,Dominica
DOP,Dolpa,Dolpa,Nepal
DOU,Dourados Airport,Dourados,Brazil
DOV,Dover Afb,Dover,United States
DOY,Dongying Airport,Dongying,China
DPA,Dupage,West Chicago,United States
DPL,Dipolog,Dipolog,Philippines
DPO,Devonport Airport,Devonport,Australia
DPS,Bali Ngurah Rai,Denpasar,Indonesia
DQH,Douglas Municipal Airport,Douglas,United States
DRB,Derby Airport,Derby,Australia
DRG,Deering Airport,Deering,United States
DRI,Beauregard Rgnl,Deridder,United States
DRJ,Drietabbetje Airstrip,Drietabbetje,Suriname
DRK,Drake Bay Airport,Puntarenas,Costa Rica
DRM,Drummond Island Airport,Drummond Island,United States
DRO,Durango La Plata Co,Durango,United States
DRS,Dresden,Dresden,Germany
DRT,Del Rio Intl,Del Rio,United States
DRW,Darwin Intl,Darwin,Australia
DSA,Robin Hood Doncaster Sheffield Airport,"Doncaster, Sheffield",United Kingdom
DSD,La D̩sirade Airport,Grande Anse,Guadeloupe
DSE,Combolcha Airport,Dessie,Ethiopia
DSK,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan
DSM,Des Moines Intl,Des Moines,United States
DSN,Ordos Ejin Horo,Dongsheng,China
DSO,Sondok Airport,Hamhung,North Korea
DTA,Delta Municipal Airport,Delta,United States
DTD,Datadawai Airport,Datadawai-Borneo Island,Indonesia
DTI,Diamantina Airport,Diamantina,Brazil
DTM,Dortmund,Dortmund,Germany
DTS,Destin,Destin,United States
DTW,Detroit Metro Wayne Co,Detroit,United States
DUB,Dublin,Dublin,Ireland
DUC,Halliburton Field Airport,Duncan,United States
DUD,Dunedin,Dunedin,New Zealand
DUE,Dundo Airport,Dundo,Angola
DUG,Bisbee Douglas Intl,Douglas,United States
DUH,Oudtshoorn,Oudtshoorn,South Africa
DUJ,DuBois Regional Airport,Du Bois,United States
DUM,Pinang Kampai,Dumai,Indonesia
DUR,Durban Intl,Durban,South Africa
DUS,Dusseldorf,Duesseldorf,Germany
DUT,Unalaska,Unalaska,United States
DUU,Ndutu,Ndutu,Tanzania
DVA,Aeroclub Deva,Deva,Romania
DVD,Andavadoaka,Andavadoaka,Madagascar
DVL,Devils Lake Regional Airport,Devils Lake,United States
DVO,Francisco Bangoy International,Davao,Philippines
DVT,Deer Valley Municipal Airport,Phoenix,United States
DWA,Yolo County Airport,Davis-Woodland-Winters,United States
DWB,Soalala Airport,Soalala,Madagascar
DWC,Dubai Al Maktoum,Dubai,United Arab Emirates
DWD,Dawadmi Domestic Airport,Dawadmi,Saudi Arabia
DWH,David Wayne Hooks Field,Houston,United States
DWS,Orlando,Orlando,United States
DXB,Dubai Intl,Dubai,United Arab Emirates
DXR,Danbury Municipal Airport,Danbury,United States
DYG,Dayong Airport,Dayong,China
DYR,Ugolny Airport,Anadyr,Russia
DYS,Dyess Afb,Abilene,United States
DYU,Dushanbe,Dushanbe,Tajikistan
DZA,Dzaoudzi Pamandzi,Dzaoudzi,Mayotte
DZM,Aeroclub Cluj,Dezmir,Romania
DZN,Zhezkazgan Airport,Zhezkazgan,Kazakhstan
E25,Wickenburg Municipal Airport,Wickenburg,United States
E51,Bagdad Airport,Bagdad,United States
E55,Ocean Ridge Airport,Gualala,United States
E63,Gila Bend Municipal Airport,Gila Bend,United States
E91,Chinle Municipal Airport,Chinle,United States
EAA,Eagle Airport,Eagle,United States
EAE,Sangafa Airport,Sangafa,Vanuatu
EAL,Elenak Airport,Elenak,Marshall Islands
EAM,Nejran,Nejran,Saudi Arabia
EAP,EuroAirport,Mulhouse,France
EAR,Kearney Municipal Airport,Kearney,United States
EAS,San Sebastian,San Sebastian,Spain
EAT,Pangborn Field,Wenatchee,United States
EAU,Chippewa Valley Regional Airport,Eau Claire,United States
EBA,Marina Di Campo,Marina Di Campo,Italy
EBB,Entebbe Intl,Entebbe,Uganda
EBD,El Obeid,El Obeid,Sudan
EBE,Ebenhofen BF,Ebenhofen,Germany
EBG,El Bagre Airport,El Bagre,Colombia
EBJ,Esbjerg,Esbjerg,Denmark
EBL,Erbil Intl,Erbil,Iraq
EBM,El Borma,El Borma,Tunisia
EBO,Bochum Railway,Bochum,Germany
EBU,Boutheon,St-Etienne,France
ECA,Iosco County,East Tawas,United States
ECG,Elizabeth City Cgas Rgnl,Elizabeth City,United States
ECN,Ercan International Airport,Nicosia,Cyprus
ECP,Panama City-NW Florida Bea.,Panama City,United States
EDF,Elmendorf Afb,Anchorage,United States
EDI,Edinburgh,Edinburgh,United Kingdom
EDL,Eldoret Intl,Eldoret,Kenya
EDM,Les Ajoncs,La Roche-sur-yon,France
EDO,Balikesir Korfez Airport,Balikesir Korfez,Turkey
EDR,Pormpuraaw Airport,Pormpuraaw,Australia
EDW,Edwards Afb,Edwards Afb,United States
EEK,Eek Airport,Eek,United States
EEN,Dillant Hopkins Airport,Keene,United States
EET,Shelby County Airport,Alabaster,United States
EFD,Ellington Fld,Houston,United States
EFL,Kefallinia,Keffallinia,Greece
EGA,Eagle County Airport,Eagle,United States
EGC,Roumaniere,Bergerac,France
EGE,Eagle Co Rgnl,Vail,United States
EGM,Sege Airport,Sege,Solomon Islands
EGN,Geneina Airport,Geneina,Sudan
EGO,Belgorod International Airport,Belgorod,Russia
EGR,El Gora,El Gorah,Egypt
EGS,Egilsstadir,Egilsstadir,Iceland
EGT,Wellington Municipal,Wellington,United States
EGV,Eagle River,Eagle River,United States
EGX,Egegik Airport,Egegik,United States
EHL,El Bolson,El Bolson,Argentina
EHM,Cape Newenham Lrrs,Cape Newenham,United States
EIA,Popondetta,Popondetta,Papua New Guinea
EIE,Yeniseysk Airport,Yeniseysk,Russia
EIL,Eielson Afb,Fairbanks,United States
EIN,Eindhoven,Eindhoven,Netherlands
EIS,Terrance B Lettsome Intl,Tortola,British Virgin Islands
EJA,Yariguies,Barrancabermeja,Colombia
EJH,Wejh,Wejh,Saudi Arabia
EJT,Enejit Airport,Enejit,Marshall Islands
EKI,Elkhart Municipal,Elkhart,United States
EKN,Elkins Randolph Co Jennings Randolph,Elkins,United States
EKO,Elko Regional Airport,Elko,United States
EKY,Bessemer,Bessemer,United States
ELA,Naypyidaw,Naypyidaw,Myanmar
ELC,Elcho Island Airport,Elcho Island,Australia
ELD,South Arkansas Rgnl At Goodwin Fld,El Dorado,United States
ELE,EL Real Airport,El Real,Panama
ELF,El Fashir,El Fasher,Sudan
ELG,El Golea,El Golea,Algeria
ELH,North Eleuthera,North Eleuthera,Bahamas
ELI,Elim Airport,Elim,United States
ELL,Ellisras,Lephalale,South Africa
ELM,Elmira Corning Rgnl,Elmira,United States
ELP,El Paso Intl,El Paso,United States
ELQ,Gassim,Gassim,Saudi Arabia
ELS,East London,East London,South Africa
ELT,El Tor,El-tor,Egypt
ELU,Guemar Airport,Guemar,Algeria
ELV,Elfin Cove Seaplane Base,Elfin Cove,United States
ELX,El Chalten,El Chalten,Argentina
ELY,Ely Airport,Ely,United States
EMA,Nottingham East Midlands,East Midlands,United Kingdom
EMD,Emerald,Emerald,Australia
EME,Emden,Emden,Germany
EMK,Emmonak Airport,Emmonak,United States
EMN,Nema,Nema,Mauritania
EMP,Emporia Municipal Airport,Emporia,United States
ENA,Kenai Muni,Kenai,United States
ENC,Essey,Nancy,France
END,Vance Afb,Enid,United States
ENE,H Hasan Aroeboesman,Ende,Indonesia
ENF,Enontekio,Enontekio,Finland
ENH,Enshi Airport,Enshi,China
ENI,El Nido Airport,El Nido,Philippines
ENK,St Angelo,Enniskillen,United Kingdom
ENS,Twenthe,Enschede,Netherlands
ENT,Eniwetok Airport,Eniwetok Atoll,Marshall Islands
ENU,Enugu,Enugu,Nigeria
ENV,Wendover,Wendover,United States
ENW,Kenosha Regional Airport,Kenosha,United States
ENY,Yan'an Airport,Yan'an,China
EOH,Olaya Herrera,Medellin,Colombia
EOI,Eday Airport,Eday,United Kingdom
EOK,Keokuk Municipal Airport,Keokuk,United States
EPL,Mirecourt,Epinal,France
EPM,Eastport Municipal Airport,Eastport,United States
EPR,Esperance Airport,Esperance,Australia
EPS,Arroyo Barril Intl,Samana,Dominican Republic
EPU,Parnu,Parnu,Estonia
EQS,Esquel,Esquel,Argentina
EQY,Monroe Reqional Airport,Charlotte,United States
ERC,Erzincan,Erzincan,Turkey
ERF,Erfurt,Erfurt,Germany
ERH,Moulay Ali Cherif,Er-rachidia,Morocco
ERI,Erie Intl Tom Ridge Fld,Erie,United States
ERM,Erechim Airport,Erechim,Brazil
ERN,Amaury Feitosa Tomaz Airport,Eirunepe,Brazil
ERS,Eros Airport,Windhoek,Namibia
ERV,Kerrville Municipal Airport,Kerrville,United States
ERY,Luce County Airport,Newberry,United States
ERZ,Erzurum,Erzurum,Turkey
ESB,Esenboga,Ankara,Turkey
ESC,Delta County Airport,Escanaba,United States
ESD,Orcas Island Airport,Eastsound,United States
ESE,Ensenada,Ensenada,Mexico
ESF,Esler Rgnl,Alexandria,United States
ESH,Shoreham,Shoreham By Sea,United Kingdom
ESK,Eskisehir,Eskisehir,Turkey
ESL,Elista Airport,Elista,Russia
ESM,General Rivadeneira Airport,Esmeraldas,Ecuador
ESN,Easton-Newnam Field Airport,Easton,United States
ESR,Ricardo Garc�_a Posada Airport,El Salvador,Chile
ESS,Essen Mulheim,Essen,Germany
ESU,Mogador Airport,Essadouira,Morocco
ESX,Essen HBF,Essen,Germany
ETH,Eilat,Elat,Israel
ETZ,Metz Nancy Lorraine,Metz,France
EUA,Kaufana Airport,Eua Island,Tonga
EUF,Weedon Field,Eufala,United States
EUG,Mahlon Sweet Fld,Eugene,United States
EUM,Neumuenster,Neumuenster,Germany
EUN,Hassan I Airport,El Aai̼n,Western Sahara
EUX,F D Roosevelt,Oranjestad,Netherlands Antilles
EVE,Evenes,Harstad/Narvik,Norway
EVG,Sveg,Sveg,Sweden
EVN,Zvartnots,Yerevan,Armenia
EVV,Evansville Regional,Evansville,United States
EVW,Evanston-Uinta CO Burns Fld,Evanston,United States
EWB,New Bedford Regional Airport,New Bedford,United States
EWD,Wadi Al Dawasir Airport,Wadi-al-dawasir,Saudi Arabia
EWK,Newton City-County Airport,Newton,United States
EWN,Craven Co Rgnl,New Bern,United States
EWR,Newark Liberty Intl,Newark,United States
EXI,Excursion Inlet Seaplane Base,Excursion Inlet,United States
EXM,Exmouth Airport,Exmouth,Australia
EXT,Exeter,Exeter,United Kingdom
EYK,Beloyarsky,Beloyarsky,Russia
EYP,El Alcarav��n Airport,Yopal,Colombia
EYW,Key West Intl,Key West,United States
EZE,Ministro Pistarini,Buenos Aires,Argentina
EZS,Elazig,Elazig,Turkey
F57,Seaplane Base,Winterhaven,United States
FAA,Faranah,Faranah,Guinea
FAB,Farnborough,Farnborough,United Kingdom
FAE,Vagar,Vagar,Faroe Islands
FAF,Felker Aaf,Fort Eustis,United States
FAI,Fairbanks Intl,Fairbanks,United States
FAJ,Diego Jimenez Torres,Fajardo,Puerto Rico
FAN,Lista,Farsund,Norway
FAO,Faro,Faro,Portugal
FAR,Hector International Airport,Fargo,United States
FAT,Fresno Yosemite Intl,Fresno,United States
FAV,Fakarava,Fakarava,French Polynesia
FAY,Fayetteville Regional Grannis Field,Fayetteville,United States
FBA,Fonte Boa Airport,Fonte Boa,Brazil
FBD,Faizabad Airport,Faizabad,Afghanistan
FBE,Paulo Abdala Airport,Francisco Beltrao,Brazil
FBG,Fredericksburg Amtrak Station,Fredericksburg,United States
FBK,Ladd Aaf,Fort Wainwright,United States
FBM,Lubumbashi Intl,Lubumashi,Congo (Kinshasa)
FBR,Fort Bridger,Fort Bridger,United States
FBS,Friday Harbor Seaplane Base,Friday Harbor,United States
FBU,Fornebu,Oslo,Norway
FCA,Glacier Park Intl,Kalispell,United States
FCM,Flying Cloud Airport,Eden Prairie,United States
FCO,Fiumicino,Rome,Italy
FCS,Butts Aaf,Fort Carson,United States
FDE,Forde Bringeland,Forde,Norway
FDF,Le Lamentin,Fort-de-france,Martinique
FDH,Friedrichshafen,Friedrichshafen,Germany
FDU,Bandundu,Bandoundu,Congo (Kinshasa)
FDW,Fairfield County Airport,Winnsboro,United States
FDY,Findlay Airport,Findley,United States
FEG,Fergana Airport,Fergana,Uzbekistan
FEL,Furstenfeldbruck,Fuerstenfeldbruck,Germany
FEN,Fernando De Noronha,Fernando Do Noronha,Brazil
FEZ,Saiss,Fes,Morocco
FFA,First Flight Airport,Kill Devil Hills,United States
FFC,Atlanta Regional Airport - Falcon Field,Atlanta,United States
FFD,Fairford,Fairford,United Kingdom
FFO,Wright Patterson Afb,Dayton,United States
FFT,Capital City Airport,Frankfort,United States
FFZ,Mesa Falcon Field,Mesa,United States
FGI,Fagali'i,Apia,Samoa
FGL,Fox Glacier Airstrip,Fox Glacier,New Zealand
FHU,Sierra Vista Muni Libby Aaf,Fort Huachuca,United States
FIE,Fair Isle Airport,Fair Isle,United Kingdom
FIG,Fria,Fira,Guinea
FIH,Ndjili Intl,Kinshasa,Congo (Kinshasa)
FIT,Fitchburg Municipal Airport,Fitchburg,United States
FIZ,Fitzroy Crossing Airport,Fitzroy Crossing,Australia
FJR,Fujairah Intl,Fujeirah,United Arab Emirates
FKB,Baden Airpark,Karlsruhe/Baden-Baden,Germany
FKI,Kisangani Simisini,Kisangani,Congo (Kinshasa)
FKL,Franklin,Franklin,United States
FKQ,Fak Fak,Fak Fak,Indonesia
FKS,Fukushima Airport,Fukushima,Japan
FLA,Gustavo Artunduaga Paredes,Florencia,Colombia
FLD,Fond Du Lac County Airport,Fond du Lac,United States
FLF,Flensburg Schaferhaus,Flensburg,Germany
FLG,Flagstaff Pulliam Airport,Flagstaff,United States
FLL,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States
FLN,Hercilio Luz,Florianopolis,Brazil
FLO,Florence Rgnl,Florence,United States
FLR,Firenze,Florence,Italy
FLS,Flinders Island Airport,Flinders Island,Australia
FLV,Sherman Aaf,Fort Leavenworth,United States
FLW,Flores,Flores,Portugal
FMA,Formosa,Formosa,Argentina
FME,Tipton,Fort Meade,United States
FMH,Otis Angb,Falmouth,United States
FMI,Kalemie,Kalemie,Congo (Kinshasa)
FMM,Allgau,Memmingen,Germany
FMN,Four Corners Rgnl,Farmington,United States
FMO,Munster Osnabruck,Munster,Germany
FMY,Page Fld,Fort Myers,United States
FNA,Freetown Lungi,Freetown,Sierra Leone
FNC,Madeira,Funchal,Portugal
FNE,Fane Airport,Fane,Papua New Guinea
FNI,Garons,Nimes,France
FNJ,Pyongyang Intl,Pyongyang,North Korea
FNL,Fort Collins Loveland Muni,Fort Collins,United States
FNR,Funter Bay Seaplane Base,Funter Bay,United States
FNT,Bishop International,Flint,United States
FNU,Fenosu,Oristano,Italy
FOA,Foula Airport,Foula,United Kingdom
FOC,Changle,Fuzhou,China
FOD,Fort Dodge Rgnl,Fort Dodge,United States
FOE,Forbes Fld,Topeka,United States
FOG,Gino Lisa,Foggia,Italy
FOK,Francis S Gabreski,West Hampton Beach,United States
FOM,Foumban Nkounja,Foumban,Cameroon
FON,Arenal Airport,La Fortuna/San Carlos,Costa Rica
FOR,Pinto Martins Intl,Fortaleza,Brazil
FPO,Grand Bahama Intl,Freeport,Bahamas
FRA,Frankfurt Main,Frankfurt,Germany
FRC,Franca Airport,Franca,Brazil
FRD,Friday Harbor Airport,Friday Harbor,United States
FRE,Fera/Maringe Airport,Fera Island,Solomon Islands
FRI,Marshall Aaf,Fort Riley,United States
FRJ,Frejus Saint Raphael,Frejus,France
FRL,Forli,Forli,Italy
FRN,Bryant Ahp,Fort Richardson,United States
FRO,Floro,Floro,Norway
FRP,St Lucie County International Airport,Fort Pierce,United States
FRS,Mundo Maya International,Flores,Guatemala
FRU,Manas,Bishkek,Kyrgyzstan
FRW,Francistown,Francistown,Botswana
FSC,Sud Corse,Figari,France
FSD,Sioux Falls,Sioux Falls,United States
FSI,Henry Post Aaf,Fort Sill,United States
FSM,Fort Smith Rgnl,Fort Smith,United States
FSP,St Pierre,St.-pierre,Saint Pierre and Miquelon
FST,Fort Stockton Pecos Co,Fort Stockton,United States
FSZ,Mt. Fuji Shizuoka Airport,Shizuoka,Japan
FTA,Futuna Airport,Futuna Island,Vanuatu
FTE,El Calafate,El Calafate,Argentina
FTI,Fitiuta Airport,Fiti'uta,American Samoa
FTK,Godman Aaf,Fort Knox,United States
FTU,Tolagnaro,Tolagnaro,Madagascar
FTW,Fort Worth Meacham Intl,Fort Worth,United States
FTX,Owando,Owando,Congo (Kinshasa)
FTY,Fulton County Airport Brown Field,Atlanta,United States
FUE,Fuerteventura,Fuerteventura,Spain
FUG,Fuyang Airport,Fuyang,China
FUJ,Fukue,Fukue,Japan
FUK,Fukuoka,Fukuoka,Japan
FUL,Fullerton Municipal Airport,Fullerton,United States
FUN,Funafuti International,Funafuti,Tuvalu
FUO,Foshan,Foshan,China
FUS,Fussen,Fussen,Germany
FUT,Pointe Vele Airport,Futuna Island,Wallis and Futuna
FUX,Fussen BF,Fussen,Germany
FWA,Fort Wayne,Fort Wayne,United States
FWM,Fort William Heliport,Fort William,United Kingdom
FXE,Fort Lauderdale Executive,Fort Lauderdale,United States
FXO,Cuamba,Cuamba,Mozambique
FYT,Faya Largeau,Faya-largeau,Chad
FYU,Fort Yukon,Fort Yukon,United States
FYV,Drake Fld,Fayetteville,United States
FZG,Fitzgerald Municipal Airport,Fitzgerald,United States
FZI,Fostoria Metropolitan Airport,Fostoria,United States
FZO,Bristol Filton,Bristol,United Kingdom
GAD,Northeast Alabama Regional Airport,Gadsden,United States
GAE,Gabes,Gabes,Tunisia
GAF,Gafsa,Gafsa,Tunisia
GAH,Gayndah,Gayndah,Australia
GAI,Montgomery County Airpark,Gaithersburg,United States
GAJ,Yamagata,Yamagata,Japan
GAL,Edward G Pitka Sr,Galena,United States
GAM,Gambell Airport,Gambell,United States
GAN,Gan Island Airport,Gan Island,Maldives
GAO,Mariana Grajales,Guantanamo,Cuba
GAQ,Gao,Gao,Mali
GAS,Garissa,Garissa,Kenya
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India
GAX,Gamba,Gamba,Gabon
GAY,Gaya,Gaya,India
GBB,Qabala Airport,Qabala,Azerbaijan
GBE,Sir Seretse Khama Intl,Gaberone,Botswana
GBJ,Les Bases Airport,Grand Bourg,Guadeloupe
GBK,Gbangbatok Airport,Gbangbatok,Sierra Leone
GBN,Great Bend Municipal,Great Bend,United States
GBT,Gorgan Airport,Gorgan,Iran
GBZ,Great Barrier Island,Claris,New Zealand
GCC,Gillette-Campbell County Airport,Gillette,United States
GCI,Guernsey,Guernsey,Guernsey
GCJ,Grand Central,Johannesburg,South Africa
GCK,Garden City Rgnl,Garden City,United States
GCM,Owen Roberts Intl,Georgetown,Cayman Islands
GCN,Grand Canyon National Park Airport,Grand Canyon,United States
GCW,Grand Canyon West Airport,Grand Canyon West,United States
GDA,Gounda Airport,Gounda,Central African Republic
GDE,Gode Airport,Gode,Ethiopia
GDL,Don Miguel Hidalgo Y Costilla Intl,Guadalajara,Mexico
GDN,Lech Walesa,Gdansk,Poland
GDQ,Gondar,Gondar,Ethiopia
GDT,JAGS McCartney International Airport,Cockburn Town,Turks and Caicos Islands
GDV,Dawson Community Airport,Glendive,United States
GDW,Gladwin Zettel Memorial Airport,Gladwin,United States
GDX,Sokol,Magadan,Russia
GDZ,Gelendzik,Gelendzik,Russia
GEA,Magenta,Noumea,New Caledonia
GED,Sussex Co,Georgetown,United States
GEG,Spokane Intl,Spokane,United States
GEL,Santo Angelo,Santo Angelo,Brazil
GEN,Gardermoen Airport,Oslo,Norway
GEO,Cheddi Jagan Intl,Georgetown,Guyana
GER,Rafael Cabrera,Nueva Gerona,Cuba
GES,General Santos International Airport,General Santos City,Philippines
GET,Geraldton Airport,Geraldton,Australia
GEU,Glendale Municipal Airport,Glendale,United States
GEV,Gallivare,Gallivare,Sweden
GEX,Geelong Airport,Geelong,Australia
GFF,Griffith Airport,Griffith,Australia
GFK,Grand Forks Intl,Grand Forks,United States
GFL,Floyd Bennett Memorial Airport,Queensbury,United States
GFN,Grafton Airport,Grafton,Australia
GFR,Granville,Granville,France
GFY,Grootfontein,Grootfontein,Namibia
GGE,Georgetown County Airport,Georgetown,United States
GGG,East Texas Rgnl,Longview,United States
GGR,Garowe - International,Garowe,Somalia
GGS,Gobernador Gregores Airport,Gobernador Gregores,Argentina
GGT,Exuma Intl,Great Exuma,Bahamas
GGW,Wokal Field Glasgow International Airport,Glasgow,United States
GHA,Noumerat,Ghardaia,Algeria
GHB,Governors Harbour,Governor's Harbor,Bahamas
GHE,Garachine Airport,Garachine,Panama
GHF,Giebelstadt Aaf,Giebelstadt,Germany
GHG,Marshfield Municipal Airport,Marshfield,United States
GHT,Ghat,Ghat,Libya
GHU,Gualeguaychu,Gualeguaychu,Argentina
GIB,Gibraltar,Gibraltar,Gibraltar
GIC,Boigu Airport,Boigu,Australia
GIF,Gilbert Airport,Winter Haven,United States
GIG,Galeao Antonio Carlos Jobim,Rio De Janeiro,Brazil
GIL,Gilgit,Gilgit,Pakistan
GIS,Gisborne,Gisborne,New Zealand
GIU,Sigiriya Airport,Sigiriya,Sri Lanka
GIZ,King Abdullah Bin Abdulaziz,Gizan,Saudi Arabia
GJA,Guanaja,Guanaja,Honduras
GJL,Jijel,Jijel,Algeria
GJR,Gjogur Airport,Gjogur,Iceland
GJT,Grand Junction Regional,Grand Junction,United States
GKA,Goroka,Goroka,Papua New Guinea
GKE,Geilenkirchen,Geilenkirchen,Germany
GKK,Kooddoo,Kooddoo,Maldives
GKL,Great Keppel Island,Great Keppel Island,Australia
GKN,Gulkana,Gulkana,United States
GKY,Arlington Municipal,Arlington,United States
GLA,Glasgow,Glasgow,United Kingdom
GLD,Renner Fld,Goodland,United States
GLF,Golfito,Golfito,Costa Rica
GLH,Mid Delta Regional Airport,Greenville,United States
GLI,Glen Innes,Glen Innes,Australia
GLJ,La Jagua Airport,Garz�_n,Colombia
GLK,Galcaio Airport,Galcaio,Somalia
GLO,Gloucestershire,Golouchestershire,United Kingdom
GLQ,Queen Street Station,Glasgow,United Kingdom
