code,name,country
2U,Air Guinee Express,Guinea
2W,Welcome Air,Austria
2X,Regionalia Uruguay,Uruguay
2Z,Changan Airlines,China
3B,JobAir,Czech Republic
3C,RegionsAir,United States
3E,Air Choice One,United States
3F,Fly Colombia ( Interliging Flights ),Colombia
3G,Atlant-Soyuz Airlines,Russia
3I,Air Comet Chile,Chile
3J,Zip,Canada
3K,Jetstar Asia Airways,Singapore
3L,Intersky,Austria
3N,Air Urga,Ukraine
3O,Air Arabia Maroc,Morocco
3P,Tiara Air,Aruba
3Q,Yunnan Airlines,China
3R,Moskovia Airlines,Russia
3S,Aeroland Airways,Greece
3S,Air Antilles Express,Guadeloupe
3T,Turan Air,Azerbaijan
3U,Sichuan Airlines,China
3V,TNT Airways,Belgium
3V,3 Valleys Airlines,France
3W,Euromanx Airways,Austria
3W,Malawian Airlines,Malawi
4A,Air Kiribati,Kiribati
4C,Aires, S.A.
4D,Air Sinai,Egypt
4F,Air City,Germany
4G,Advance Leasing Company,United States
4G,Gazpromavia,Russia
4H,United Airways,Bangladesh
4K,Askari Aviation,Pakistan
4L,Euroline,Georgia
4M,LAN Argentina,Argentina
4N,Air North Charter - Canada,Canada
4O,Interjet (ABC Aerolineas),Mexico
4P,Business Aviation,Congo (Kinshasa)
4Q,Safi Airlines,Afghanistan
4R,Hamburg International,Germany
4S,Finalair Congo,Republic of the Congo
4T,Belair Airlines,Switzerland
4U,Germanwings,Germany
4X,Red Jet Mexico,Mexico
4Y,Airbus France,France
4Z,Airlink (SAA),South Africa
5A,Alpine Air Express,United States
5C,CAL Cargo Air Lines,Israel
5D,Aerolitoral,Mexico
5D,DonbassAero,Ukraine
5E,SGA Airlines,Thailand
5F,Arctic Circle Air Service,United States
5G,Skyservice Airlines,Canada
5H,Fly540,Kenya
5J,Cebu Pacific,Philippines
5K,Hi Fly,Portugal
5K,Hi Fly (5K),Portugal
5L,Aerosur,Bolivia
5M,Sibaviatrans,Russia
5N,Aeroflot-Nord,Russia
5P,Pal airlines,Chile
5Q,BQB Lineas Aereas,Uruguay
5T,Canadian North,Canada
5V,Lviv Airlines,Ukraine
5W,Astraeus,United Kingdom
5X,United Parcel Service,United States
5Y,Atlas Air,United States
5Z,Bismillah Airlines,Bangladesh
5Z,VivaColombia,Colombia
6A,Consorcio Aviaxsa,Mexico
6B,TUIfly Nordic,Sweden
6C,Vuela Cuba,Cuba
6D,Pelita,Indonesia
6E,IndiGo Airlines,India
6F,MAT Airways,Macedonia
6G,Air Wales,United Kingdom
6H,Israir,Israel
6I,International Business Air,Sweden
6I,Fly 6ix,Sierra Leone
6J,Skynet Asia Airways,Japan
6K,Asian Spirit,Philippines
6N,Nordic Regional,Sweden
6P,Club Air,Italy
6P,Gryphon Airlines,United States
6Q,Slovak Airlines,Slovakia
6R,Alrosa Mirny Air Enterprise,Russia
6T,Air Mandalay,Burma
6U,Air Ukraine,Ukraine
6U,Air Cargo Germany,Germany
6V,Air Vegas,United States
6V,Axis Airways,France
6V,Mars RK,Ukraine
6W,Saratov Aviation Division,Russia
6Y,SmartLynx Airlines,Latvia
6Z,Ukrainian Cargo Airways,Ukraine
7A,Aztec Worldwide Airlines,United States
7B,Krasnojarsky Airlines,Russia
7C,Jeju Air,Republic of Korea
7E,Aeroline GmbH,Germany
7F,First Air,Canada
7G,Star Flyer,Japan
7H,Era Alaska,United States
7I,Insel Air (7I/INC) (Priv),Netherlands Antilles
7J,Tajik Air,Tajikistan
7K,Kogalymavia Air Company,Russia
7L,Sun D'Or,Israel
7M,Mongolian International Air Lines ,Mongolia
7N,Centavia,Serbia
7O,Galaxy Air,Kyrgyzstan
7O,All Colombia,Colombia
7P,Metro Batavia,Indonesia
7Q,Pan Am World Airways Dominicana,Dominican Republic
7R,BRA-Transportes Aereos,Brazil
7T,Air Glaciers,Switzerland
7T,Tobruk Air,Libya
7W,Wayraper,Peru
7Y,Med Airways,Lebanon
7Z,Halcyonair,Cape Verde
8A,Atlas Blue,Morocco
8B,Caribbean Star Airlines,Antigua and Barbuda
8B,BusinessAir,Thailand
8C,Air Transport International,United States
8C,Air Horizon,Togo
8C,Shanxi Airlines,China
8D,Astair,Russian Federation
8D,Expo Aviation,Sri Lanka
8D,Servant Air,United States
8E,Bering Air,United States
8F,Fischer Air,Czech Republic
8F,STP Airways,Sao Tome and Principe
8H,Heli France,France
8I,Myway Airlines,Italy
8J,Jet4You,Morocco
8J,Komiinteravia,Russia
8K,Voestar,Brazil
8L,Cargo Plus Aviation,United Arab Emirates
8L,Redhill Aviation,United Kingdom
8M,Maxair,Sweden
8M,Myanmar Airways International,Myanmar
8N,Barents AirLink,Sweden
8O,West Coast Air,Canada
8P,Pacific Coastal Airline,Canada
8Q,Baker Aviation,United States
8Q,Onur Air,Turkey
8Q,Maldivian Air Taxi,Maldives
8R,TRIP Linhas A,Brazil
8S,Scorpio Aviation,Egypt
8T,Air Tindi,Canadian Territories
8U,Afriqiyah Airways,Libya
8V,Astral Aviation,Kenya
8V,Wright Air Service,United States
8W,Private Wings Flugcharter,Germany
8Y,Air Burundi,Burundi
8Y,China Postal Airlines,China
8z,Linea Aerea de Servicio Ejecutivo Regional,Venezuela
8Z,Wizz Air Hungary,Bulgaria
9A,Air Atlantic,Canada
9A,All Africa,South Africa
9C,China SSS,China
9E,Pinnacle Airlines,United States
9F,Tramm Airlines,Netherlands Antilles
9H,MDLR Airlines,India
9I,Thai Sky Airlines,Thailand
9J,Regionalia Chile,Chile
9K,Cape Air,United States
9L,Colgan Air,United States
9N,Regional Air Iceland,Iceland
9O,National Airways Cameroon,Cameroon
9P,Pelangi ,Malaysia
9Q,PB Air,Thailand
9R,Phuket Air,Thailand
9R,SATENA,Colombia
9S,Spring Airlines,China
9T,Transwest Air,Canada
9U,Air Moldova,Moldova
9W,Jet Airways,India
9X,Itali Airlines,Italy
9X,Regionalia Venezuela,Venezuela
9Y,Air Kazakhstan,Kazakhstan
A1,Atifly,United States
A2,Cielos Airlines,Peru
A2,All America,United States
A3,Aegean Airlines,Greece
A4,Southern Winds Airlines,Argentina
A5,Airlinair,France
A6,Air Alps Aviation,Austria
A6,Air Alps Aviation (A6),Austria
A7,Air Plus Comet,Spain
A8,Benin Golf Air,Benin
A9,Georgian Airways,Georgia
AA,American Airlines,United States
AB,Air Berlin,Germany
AC,Air Canada,Canada
AD,Air Paradise International,Indonesia
AD,Azul,Brazil
AE,Mandarin Airlines,Taiwan
AF,Air France,France
AG,Air Contractors,Ireland
AH,Air Algerie,Algeria
AI,Air India Limited,India
AJ,Aero Contractors,Nigeria
AK,AirAsia,Malaysia
AL,Skywalk Airlines,United States
AL,Transaviaexport,Belarus
AM,AeroM̩xico,Mexico
AN,Ansett Australia,Australia
AO,Australian Airlines,Australia
AO,Avianova (Russia),Russia
AP,Airbus Industrie,France
AP,Air One,Italy
AQ,Aloha Airlines,United States
AR,Aerolineas Argentinas,Argentina
AS,Alaska Airlines,ALASKA
AT,Royal Air Maroc,Morocco
AU,Austral Lineas Aereas,Argentina
AV,Avianca - Aerovias Nacionales de Colombia,AVIANCA
AW,CHC Airways,Netherlands
AW,Dirgantara Air Service,Indonesia
AW,Asian Wings Airways,Burma
AX,Trans States Airlines,United States
AY,Finnair,Finland
AZ,Alitalia,Italy
B0,Aws express,United States
B1,Baltic Air lines,Latvia
B2,Belavia Belarusian Airlines,Belarus
B3,Bellview Airlines,Nigeria
B4,BACH Flugbetriebsges,Austria
B4,Bankair,United States
B4,Flyglobespan,United Kingdom
B5,Flightline,United Kingdom
B6,JetBlue Airways,United States
B7,Uni Air,Taiwan
B8,Eritrean Airlines,Eritrea
B9,Air Bangladesh,Bangladesh
BA,British Airways,United Kingdom
BB,Seaborne Airlines,United States
BC,Skymark Airlines,Japan
BD,bmi,United Kingdom
BE,Flybe,United Kingdom
BF,Aero-Service,Republic of the Congo
BF,Bluebird Cargo,Iceland
BG,Biman Bangladesh Airlines,Bangladesh
BH,Hawkair,Canada
BI,Royal Brunei Airlines,Brunei
BJ,Nouvel Air Tunisie,Tunisia
BK,Potomac Air,United States
BL,Jetstar Pacific,Vietnam
BM,Air Sicilia,Italy
BM,Bayu Indonesia Air,Indonesia
BN,Braniff International Airways,United States
BN,Forward Air International Airlines,United States
BN,Horizon Airlines,Australia
BO,Bouraq Indonesia Airlines,Indonesia
BP,Air Botswana,Botswana
BQ,Aeromar,Dominican Republic
BQ,Buquebus L�_neas A̩reas,Uruguay
BR,EVA Air,Taiwan
BS,British International Helicopters,United Kingdom
BT,Air Baltic,Latvia
BU,Braathens,Norway
BU,Blue Sky America,United States
BU,Baikotovitchestrian Airlines ,American Samoa
BV,Blue Panorama Airlines,Italy
BW,Caribbean Airlines,Trinidad and Tobago
BX,Coast Air,Norway
BX,Air Busan,Republic of Korea
BY,Thomsonfly,United Kingdom
BZ,Blue Dart Aviation,India
BZ,Keystone Air Services,Canada
BZ,Aero Brazil,Brazil
BZ,Black Stallion Airways,United States
C0,Centralwings,Poland
C1,CanXpress,Canada
C2,CanXplorer,Canada
C3,Contact Air,Germany
C3,ICAR Airlines,Ukraine
C3,QatXpress,Qatar
C4,Zimex Aviation,Switzerland
C4,LionXpress,Cameroon
C5,CommutAir,United States
C6,CanJet,Canada
C7,Rico Linhas A,Brazil
C7,Sky Wing Pacific,South Korea
C8,Chicago Express,United States
C8,Chicago Express (C8),United States
C9,Cirrus Airlines,Germany
CA,Air China,China
CB,Suckling Airways,United Kingdom
CB,CCML Airlines,Colombia
CC,Air Atlanta Icelandic,Iceland
CC,Macair Airlines,Australia
CD,Alliance Air,India
CD,Air India Regional,India
CE,Nationwide Airlines,South Africa
CF,City Airline,Sweden
CG,Airlines PNG,Papua New Guinea
CH,Bemidji Airlines,United States
CI,China Airlines,Taiwan
CJ,China Northern Airlines,China
CJ,BA CityFlyer,United Kingdom
CK,China Cargo Airlines,China
CL,Lufthansa CityLine,Germany
CM,Copa Airlines,Panama
CN,Islands Nationair,Papua New Guinea
CN,Westward Airways,United States
CN,Canadian National Airways,Canada
CO,Continental Airlines,United States
CO,Continental Express,United States
CP,Canadian Airlines,Canada
CP,Compass Airlines,United States
CQ,Sunshine Express Airlines,Australia
CQ,SOCHI AIR,Russia
CR,OAG,United Kingdom
CR,Air Ops,Sweden
CS,Continental Micronesia,United States
CT,Civil Air Transport,Taiwan
CT,Alitalia Cityliner,Italy
CU,Cubana de Aviaci�_n,Cuba
CV,Air Chathams,New Zealand
CV,Cargolux,Luxembourg
CW,Air Marshall Islands,Marshall Islands
CX,Cathay Pacific,Hong Kong SAR of China
CY,Cyprus Airways,Cyprus
CZ,China Southern Airlines,China
_�_�,Polar Airlines,Russia
D1,Domenican Airlines,Dominican Republic
D3,Daallo Airlines,Djibouti
D4,Alidaunia,Italy
D5,Dauair,Germany
D5,Skyline nepc,India
D5,NEPC Airlines,India
D6,Interair South Africa,South Africa
D7,Dinar,Argentina
D7,AirAsia X,Malaysia
D8,Djibouti Airlines,Djibouti
D9,Aeroflot-Don,Russia
DA,Air Georgia,Georgia
DA,Dana Air,Nigeria
DB,Brit Air,France
DC,Golden Air,Sweden
DD,Nok Air,Thailand
DE,Condor Flugdienst,Germany
DF,Michael Airlines,Puerto Rico
DG,South East Asian Airlines,Philippines
DH,Discovery Airways,United States
DH,Independence Air,United States
DH,Dennis Sky,Israel
DI,dba,Germany
DJ,Pacific Blue,New Zealand
DJ,Polynesian Blue,New Zealand
DJ,Virgin Blue,Australia
DK,Eastland Air,Australia
DL,Delta Air Lines,United States
DM,Maersk,Denmark
DN,Voronezhskie Airlanes,Russia
DN,Alinord,Italy
DN,Senegal Airlines,Senegal
DO,Dominicana de Aviaci,Dominican Republic
_�_�,KMV,Russia
DP,First Choice Airways,United Kingdom
DQ,Coastal Air,United States
DR,Air Mediterranee,France
DS,EasyJet (DS),Switzerland
DT,TAAG Angola Airlines,Angola
DU,Hemus Air,Bulgaria
DV,Lufttaxi Fluggesellschaft,Germany
DV,Nantucket Airlines,United States
DV,Scat Air,Kazakhstan
DW,Aero-Charter Ukraine,Ukraine
DW,Deutsche Luftverkehrsgesellschaft,Germany
DX,DAT Danish Air Transport,Denmark
DY,Norwegian Air Shuttle,Norway
DZ,Starline.kz,Kazakhstan
E0,Eos Airlines,United States
E1,Usa Sky Cargo,United States
E2,Kampuchea Airlines,Cambodia
E2,Rio Grande Air,United States
E3,Domodedovo Airlines,Russia
E4,Aero Asia International,Pakistan
E4,Elysian Airlines,Cameroon
E5,Samara Airlines,Russia
E5,Air Arabia Egypt,Egypt
E6,Bringer Air Cargo Taxi Aereo,Brazil
E6,Aviaexpresscruise,Russia
E7,Estafeta Carga Aerea,Mexico
E7,European Aviation Air Charter,United Kingdom
E8,Alpi Eagles,Italy
E8,Alpi Eagles (E8),Italy
E8,US Africa Airways,United States
E9,Boston-Maine Airways,United States
E9,AJT Air International,Russia
E9,Compagnie Africaine d\\'Aviation,Congo (Kinshasa)
EA,European Air Express,Germany
EC,Avialeasing Aviation Company,Uzbekistan
ED,Airblue,Pakistan
EE,Aero Airlines,Estonia
EF,Far Eastern Air Transport,Taiwan
EG,Japan Asia Airways,Japan
EH,Air Nippon Network Co. Ltd.,Japan
EH,SAETA,Ecuador
EH,Euro Harmony,Portugal
EI,Aer Lingus,Ireland
EJ,New England Airlines,United States
EK,Emirates,United Arab Emirates
EL,Air Nippon,Japan
EM,Aero Benin,Benin
EM,Empire Airlines,United States
EN,Air Dolomiti,Italy
EO,Express One International,United States
EO,Hewa Bora Airways,Democratic Republic of the Congo
EP,Iran Aseman Airlines,Iran
EQ,TAME,Ecuador
ER,Astar Air Cargo,United States
ER,Fly Europa,Spain
ES,DHL International,Bahrain
ES,EuropeSky,Germany
ET,Ethiopian Airlines,Ethiopia
EU,Empresa Ecuatoriana De Aviacion,Ecuador
EV,Atlantic Southeast Airlines,United States
EW,Eurowings,Germany
EX,Air Santo Domingo,Dominican Republic
EY,Etihad Airways,United Arab Emirates
EZ,Evergreen International Airlines,United States
EZ,Sun Air of Scandinavia,Denmark
F1,Fly Brasil,Brazil
F2,Fly Air,Turkey
F3,Faso Airways,Burkina Faso
F4,Albarka Air,Nigeria
F5,Cosmic Air,Nepal
F5,Global Freightways,United States
F6,Faroejet,Faroe Islands
F7,Flybaboo,Switzerland
F8,Air2there,New Zealand
F9,Frontier Airlines,United States
FA,Safair,South Africa
FA,Epic Holiday,United States
FB,Bulgaria Air,Bulgaria
FC,Finncomm Airlines,Finland
FD,Thai AirAsia,Thailand
FE,Primaris Airlines,United States
FF,Airshop,Netherlands
FF,Tower Air,United States
FG,Ariana Afghan Airlines,Afghanistan
FH,Futura International Airways,Spain
FH,FlyHigh Airlines Ireland (FH),Ireland
FI,Icelandair,Iceland
FJ,Air Pacific,Fiji
FK,Africa West,Togo
FL,AirTran Airways,United States
FM,Shanghai Airlines,China
FN,Regional Airlines,Morocco
FO,Airlines Of Tasmania,Australia
FP,Freedom Air,United States
FQ,Thomas Cook Airlines,Belgium
FR,Ryanair,Ireland
FS,Servicios de Transportes A,Argentina
FT,Siem Reap Airways,Cambodia
FU,Felix Airways,Yemen
FV,Rossiya-Russian Airlines,Russia
FW,Ibex Airlines,Japan
FX,Federal Express,United States
FY,Firefly,Malaysia
FY,Northwest Regional Airlines,Australia
FZ,Fly Dubai,United Arab Emirates
G0,Ghana International Airlines,Ghana
G1,Gorkha Airlines,Nepal
G1,Indya Airline Group,India
G2,Avirex,Gabon
G3,City Connexion Airlines,Burundi
G3,Gol Transportes A̩reos,Brazil
G3,Sky Express,Greece
G4,Allegiant Air,United States
G5,Huaxia,China
G6,Guine Bissaur Airlines,Guinea-Bissau
G6,Air Volga,Russia
G7,Gandalf Airlines,Italy
G7,GoJet Airlines,United States
G8,Air Service Gabon,Gabon
G8,Enkor JSC,Russia]]
G8,Go Air,India
G8,Gujarat Airways,India
G9,Air Arabia,United Arab Emirates
GA,Garuda Indonesia,Indonesia
GB,Airborne Express,United States
GB,ABX Air,United States
GB,BRAZIL AIR,Brazil
GC,Gambia International Airlines,Gambia
GC,Lina Congo,Congo (Brazzaville)
GD,Air Alpha Greenland,Denmark
GD,GoDutch,Netherlands
GE,TransAsia Airways,Taiwan
GF,Gulf Air Bahrain,Bahrain
GG,Air Guyane,French Guiana
GG,Air Comores International,Comoros
GG,Cargo 360,United States
GH,Globus,Russia
GI,Itek Air,Kyrgyzstan
GJ,Compania Mexicargo,Mexico
GJ,Eurofly Service,Italy
GK,Go One Airways,United Kingdom
GK,Genesis,Pakistan
GL,Air Greenland,Denmark
GL,Miami Air International,United States
GM,Air Slovakia,Slovakia
GM,Flitestar,South Africa
GM,German International Air Lines,Germany
GN,Air Gabon,Gabon
GN,GNB Linhas Aereas,Brazil
GO,Kuzu Airlines Cargo,Turkey
GP,Gestair,Spain
GP,Palau Trans Pacific Airline,Palau
GP,Gadair European Airlines,Spain
GQ,Big Sky Airlines,United States
GR,Aurigny Air Services,United Kingdom
GR,Gemini Air Cargo,United States
GS,Air Foyle,United Kingdom
GS,Grant Aviation,United States
GT,GB Airways,United Kingdom
GU,Gulisano airways,Italy
GV,Aero Flight,Germany
GW,Kuban Airlines,Russia
GX,Jetx Airlines,Iceland
GX,Pacificair,Philippines
GY,Guyana Airways 2000,
GY,Tri-MG Intra Asia Airlines,Indonesia
GY,Gabon Airlines,Gabon
GZ,Air Rarotonga,Cook Islands
H1,Hankook Air US,United States
H2,Sky Airline,Chile
H3,THREE,China
H3,Harbour Air (Priv),Canada
H4,H̩li S̩curit̩ Helicopter Airlines,France
H4,Inter Islands Airlines,Cape Verde
H5,Hola Airlines,Spain
H5,Mavial Magadan Airlines,Russia
H5,I-Fly,Russia
H6,Hageland Aviation Services,United States
H7,Eagle Air,Uganda
H8,Dalavia,Russia
H9,Air D'Ayiti,Haiti
H9,Izair,Turkey
H9,PEGASUS AIRLINES-,Turkey
HA,Hawaiian Airlines,United States
HB,Harbor Airlines,United States
HC,Aero-Tropics Air Services,Australia
HC,Himalayan Airlines,Nepal
HD,Hokkaido International Airlines,Japan
HE,Luftfahrtgesellschaft Walter,Germany
HF,Hapagfly,Germany
HG,Niki,Austria
HH,Hope Air,Canada
HH,Air Hamburg (AHO),Germany
HI,Papillon Grand Canyon Helicopters,United States
HJ,Asian Express Airlines,Australia
HK,Four Star Aviation / Four Star Cargo,United States
HK,Yangon Airways,Burma
HM,Air Seychelles,Seychelles
HN,Heavylift Cargo Airlines,Australia
HN,Hankook Airline,South Korea
HO,Antinea Airlines,Algeria
HO,Juneyao Airlines,China
HP,America West Airlines,United States
HP,Hawaiian Pacific Airlines,United States
HP,Pearl Airways,Haiti
HP,Phoenix Airways,Switzerland
HQ,Harmony Airways,Canada
HQ,HQ- Business Express,United States
HR,China United Airlines,China
HR,Hahn Air,Germany
HT,Aeromist-Kharkiv,Ukraine
HT,Hellenic Imperial Airways,Greece
HU,Hainan Airlines,China
HV,Transavia Holland,Netherlands
HW,Hello,Switzerland
HW,North-Wright Airways,Canada
HX,Hong Kong Airlines,Hong Kong SAR of China
HY,Uzbekistan Airways,Uzbekistan
HZ,Sat Airlines,Kazakhstan
I2,Iberia Express,Spain
I4,Interstate Airline,Netherlands
I5,Indonesia Sky,Indonesia
I6,Sky Eyes,Thailand
I6,MexicanaLink,Mexico
I7,Paramount Airways,India
I8,IzAvia,Russia
I9,Air Italy,Italy
I9,Indigo,United States
IA,Iraqi Airways,Iraq
IB,Iberia Airlines,Spain
IC,Indian Airlines,India
ID,Interlink Airlines,South Africa
IE,Solomon Airlines,Solomon Islands
IF,Islas Airways,Spain
IG,Meridiana,Italy
IH,Falcon Aviation,Sweden
IH,Falcon Air (IH),Sweden
II,IBC Airways,United States
II,LSM International ,Russia
IJ,Great Wall Airlines,China
IJ,InteliJet Airways,Colombia
IJ,Transport A̩rien Transr̩gional,France
IJ,AirLibert̩,France
IJ,T.A.T,France
IK,Imair Airlines,Azerbaijan
IK,Lankair,Sri Lanka
IL,Illinois Airways,United States
IL,Fly Illi,United States
IM,Menajet,Lebanon
IN,MAT Macedonian Airlines,Macedonia
IO,Indonesian Airlines,Indonesia
IP,Atyrau Air Ways,Kazakhstan
IP,Island Spirit,Iceland
IQ,Augsburg Airways,Germany
IR,Iran Air,Iran
IS,Island Airlines,United States
IT,Kingfisher Airlines,India
IV,Wind Jet,Italy
IW,AOM French Airlines,France
IW,Wings Air,Indonesia
IX,Air India Express,India
IY,Yemenia,Yemen
IZ,Arkia Israel Airlines,Israel
J2,Azerbaijan Airlines,Azerbaijan
J3,Northwestern Air,Canada
J4,Buffalo Airways,Canada
J4,ALAK,Russia
J5,Alaska Seaplane Service,United States
J6,AVCOM,Russia
J7,Centre-Avia,Russia
J7,ValueJet,United States
J7,Denim Air ,Norway
J8,Berjaya Air,Malaysia
J9,Guinee Airlines,Guinea
J9,Jazeera Airways,Kuwait
JA,Air Bosna,Bosnia and Herzegovina
JA,B&H Airlines,Bosnia and Herzegovina
JB,Helijet,Canada
JC,JAL Express,Japan
JD,Japan Air System,Japan
JE,Mango,South Africa
JF,Jetairfly,Belgium
JF,L.A.B. Flying Service,United States
JH,Nordeste Linhas Aereas Regionais,Brazil
JH,Fuji Dream Airlines,Japan
JI,Midway Airlines,United States
JJ,TAM Brazilian Airlines,Brazil
JK,Spanair,Spain
JL,Japan Airlines,Japan
JL,Japan Airlines Domestic,Japan
JM,Air Jamaica,Jamaica
JN,Excel Airways,United Kingdom
JO,JALways,Japan
JP,Adria Airways,Slovenia
JQ,Jetstar Airways,Australia
JR,Aero California,Mexico
JR,Joy Air,China
JS,Air Koryo,Democratic People's Republic of Korea
JT,Lion Mentari Airlines,Indonesia
JU,Jat Airways,Serbia
JV,Bearskin Lake Air Service,Canada
JW,Arrow Air,United States
JX,Jett8 Airlines Cargo,Singapore
JX,Jusur airways,Egypt
JY,Air Turks and Caicos,Turks and Caicos Islands
JY,Aereonautica militare,Italy
JZ,Skyways Express,Sweden
K1,Kostromskie avialinii,Russia
K2,Eurolot,Poland
K4,Kalitta Air,United States
K5,Aban Air,Iran
K5,Wings of Alaska,United States
K5,SeaPort Airlines,United States
K6,Bravo Air Congo,Democratic Republic of the Congo
K6,Cambodia Angkor Air (K6),Cambodia
K7,KoralBlue Airlines,Egypt
K8,Airlink Zambia,Zambia
K8,Zambia Skyways,Zambia
K9,Krylo Airlines,Russia
KA,Dragonair,DRAGON
KB,Druk Air,Bhutan
KC,Air Astana,Kazakhstan
KD,KD Avia,Russia
KE,Korean Air,Republic of Korea
KF,Blue1,Finland
KG,LAI - Linea Aerea IAACA,Venezuela
KG,Royal Airways,United States
KH,Cook Island Air,Cook Islands
KH,Kharkiv Airlines,Ukraine
KI,Air Atlantique,United Kingdom
KI,Adam Air,Indonesia
KJ,British Mediterranean Airways,United Kingdom
KK,Atlasjet,Turkey
KL,KLM Royal Dutch Airlines,Netherlands
KM,Air Malta,Malta
KN,China United,China
KO,Alaska Central Express,United States
KP,Kiwi International Air Lines,United States
KP,Air Cape,South Africa
KQ,Kenya Airways,Kenya
KR,Comores Airlines,Comoros
KS,Peninsula Airways,United States
KT,California Western,United States
KT,VickJet,France
KU,Kuwait Airways,Kuwait
KV,Kavminvodyavia,Russia
KW,Carnival Air Lines,United States
KX,Cayman Airways,Cayman Islands
KY,Air S,Air S
KY,Kibris T,Turkey
KY,KSY,Greece
KZ,Nippon Cargo Airlines,Japan
L1,Lufthansa Systems,Germany
L1,All Argentina,Argentina
L2,Lynden Air Cargo,United States
L3,DHL de Guatemala,Guatemala
L3,LTU Austria,Austria
L4,Luchsh Airlines ,Russia
L5,Lufttransport,Norway
L6,Mauritania Airlines International,Mauritania
L7,Laoag International Airlines,Philippines
L7,Linea Aerea SAPSA,Chile
L7,Lugansk Airlines,Ukraine
L8,Air Luxor GB,Guinea-Bissau
L8,Line Blue,Germany
L9,Teamline Air,Austria
L9,All Asia,China
LA,LAN Airlines,Chile
LB,Lloyd Aereo Boliviano,Bolivia
LB,Air Costa,India
LC,Varig Log,Brazil
LD,Air Hong Kong,Hong Kong
LD,Linea Turistica Aerotuy,Venezuela
LF,FlyNordic,Sweden
LG,Luxair,Luxembourg
LH,Lufthansa,Germany
LH,Lufthansa Cargo,Germany
LI,Leeward Islands Air Transport,Antigua and Barbuda
LJ,Sierra National Airlines,Sierra Leone
LJ,Jin Air,South Korea
LK,Air Luxor,Portugal
LL,Allegro,Mexico
LM,Linhas A,Mozambique
LM,Livingston,Italy
LN,Libyan Arab Airlines,Libya
LO,LOT Polish Airlines,Poland
LP,LAN Peru,Peru
LQ,Lebanese Air Transport,Lebanon
LQ,LCM AIRLINES,Russia
LR,LACSA,Costa Rica
LS,Jet2.com,United Kingdom
LT,LTU International,Germany
LU,LAN Express,Chile
LV,Albanian Airlines,Albania
LW,Pacific Wings,United States
LX,Swiss International Air Lines,Switzerland
LY,El Al Israel Airlines,Israel
LZ,Balkan Bulgarian Airlines,
M0,Aero Mongolia,Mongolia
M1,Maryland Air,United States
M2,Mahfooz Aviation,Gambia
M2,MHS Aviation GmbH,Germany
M3,ABSA - Aerolinhas Brasileiras,Brazil
M3,Air Service,Macedonia
M3,North Flying,Denmark
M4,Nova Airline,Sudan
M4,Marysya Airlines,Russia
M5,Kenmore Air,United States
M6,Amerijet International,United States
M7,MasAir,Mexico
M7,Marsland Aviation,Sudan
M7,Tropical Airways,Haiti
M8,Trans Maldivian Airways,Maldives
M9,Motor Sich,Ukraine
MA,Mal̩v,Hungary
MB,Execair Aviation,Canada
MB,MNG Airlines,Turkey
MC,Air Mobility Command,United States
MD,Air Madagascar,Madagascar
ME,Middle East Airlines,Lebanon
MF,Xiamen Airlines,China
MG,Champion Air,United States
MH,Malaysia Airlines,Malaysia
